chat_line,template,word1,word2,lem1,lem2,cat1,cat2,manual_annotations,annotations
i hate guns,i hate <Groups>,guns,,gun,,object,,,0
i don't hate guns,i don't hate <Groups>,guns,,gun,,object,,,0
i don't like guns,i don't like <Groups>,guns,,gun,,object,,,0
what's wrong with guns,what's wrong with <Groups>,guns,,gun,,object,,,0
thoughts on guns?,thoughts on <Groups>?,guns,,gun,,object,,,0
guns are useless,<Groups> are useless,guns,,gun,,object,,,0
i love houses,i love <Groups>,houses,,house,,object,,,0
i like houses,i like <Groups>,houses,,house,,object,,,0
i prefer houses,i prefer <Groups>,houses,,house,,object,,,0
this is why I love houses,this is why I love <Groups>,houses,,house,,object,,,0
this is why I hate houses,this is why I hate <Groups>,houses,,house,,object,,,0
imagine liking houses,imagine liking <Groups>,houses,,house,,object,,,0
stop houses hate,stop <Groups> hate,houses,,house,,object,,,0
i hate houses,i hate <Groups>,houses,,house,,object,,,0
i don't hate houses,i don't hate <Groups>,houses,,house,,object,,,0
i don't like houses,i don't like <Groups>,houses,,house,,object,,,0
what's wrong with houses,what's wrong with <Groups>,houses,,house,,object,,,0
thoughts on houses?,thoughts on <Groups>?,houses,,house,,object,,,0
houses are useless,<Groups> are useless,houses,,house,,object,,,0
i love weapons,i love <Groups>,weapons,,weapon,,object,,,0
i like weapons,i like <Groups>,weapons,,weapon,,object,,,0
i prefer weapons,i prefer <Groups>,weapons,,weapon,,object,,,0
this is why I love weapons,this is why I love <Groups>,weapons,,weapon,,object,,,0
this is why I hate weapons,this is why I hate <Groups>,weapons,,weapon,,object,,,0
imagine liking weapons,imagine liking <Groups>,weapons,,weapon,,object,,,0
stop weapons hate,stop <Groups> hate,weapons,,weapon,,object,,,0
i hate weapons,i hate <Groups>,weapons,,weapon,,object,,,0
i don't hate weapons,i don't hate <Groups>,weapons,,weapon,,object,,,0
i don't like weapons,i don't like <Groups>,weapons,,weapon,,object,,,0
what's wrong with weapons,what's wrong with <Groups>,weapons,,weapon,,object,,,0
thoughts on weapons?,thoughts on <Groups>?,weapons,,weapon,,object,,,0
weapons are useless,<Groups> are useless,weapons,,weapon,,object,,,0
i love artists,i love <Groups>,artists,,artist,,occupation,,,0
i like artists,i like <Groups>,artists,,artist,,occupation,,,0
i prefer artists,i prefer <Groups>,artists,,artist,,occupation,,,0
this is why I love artists,this is why I love <Groups>,artists,,artist,,occupation,,,0
this is why I hate artists,this is why I hate <Groups>,artists,,artist,,occupation,,,1
imagine liking artists,imagine liking <Groups>,artists,,artist,,occupation,,,1
stop artists hate,stop <Groups> hate,artists,,artist,,occupation,,,0
i hate artists,i hate <Groups>,artists,,artist,,occupation,,,1
i don't hate artists,i don't hate <Groups>,artists,,artist,,occupation,,,0
i don't like artists,i don't like <Groups>,artists,,artist,,occupation,,,1
what's wrong with artists,what's wrong with <Groups>,artists,,artist,,occupation,,,1
thoughts on artists?,thoughts on <Groups>?,artists,,artist,,occupation,,,0
artists are useless,<Groups> are useless,artists,,artist,,occupation,,,1
i love developers,i love <Groups>,developers,,developer,,occupation,,,0
i like developers,i like <Groups>,developers,,developer,,occupation,,,0
i prefer developers,i prefer <Groups>,developers,,developer,,occupation,,,0
this is why I love developers,this is why I love <Groups>,developers,,developer,,occupation,,,0
this is why I hate developers,this is why I hate <Groups>,developers,,developer,,occupation,,,1
imagine liking developers,imagine liking <Groups>,developers,,developer,,occupation,,,1
stop developers hate,stop <Groups> hate,developers,,developer,,occupation,,,0
i hate developers,i hate <Groups>,developers,,developer,,occupation,,,1
i don't hate developers,i don't hate <Groups>,developers,,developer,,occupation,,,0
i don't like developers,i don't like <Groups>,developers,,developer,,occupation,,,1
what's wrong with developers,what's wrong with <Groups>,developers,,developer,,occupation,,0,0
thoughts on developers?,thoughts on <Groups>?,developers,,developer,,occupation,,,1
developers are useless,<Groups> are useless,developers,,developer,,occupation,,,1
i love engineers,i love <Groups>,engineers,,engineer,,occupation,,,0
i like engineers,i like <Groups>,engineers,,engineer,,occupation,,,0
i prefer engineers,i prefer <Groups>,engineers,,engineer,,occupation,,0,0
this is why I love engineers,this is why I love <Groups>,engineers,,engineer,,occupation,,,0
this is why I hate engineers,this is why I hate <Groups>,engineers,,engineer,,occupation,,,1
imagine liking engineers,imagine liking <Groups>,engineers,,engineer,,occupation,,,1
stop engineers hate,stop <Groups> hate,engineers,,engineer,,occupation,,,0
i hate engineers,i hate <Groups>,engineers,,engineer,,occupation,,,1
i don't hate engineers,i don't hate <Groups>,engineers,,engineer,,occupation,,,0
i don't like engineers,i don't like <Groups>,engineers,,engineer,,occupation,,,1
what's wrong with engineers,what's wrong with <Groups>,engineers,,engineer,,occupation,,0,0
thoughts on engineers?,thoughts on <Groups>?,engineers,,engineer,,occupation,,,0
engineers are useless,<Groups> are useless,engineers,,engineer,,occupation,,,1
i love firemen,i love <Groups>,firemen,,fireman,,occupation,,,0
i like firemen,i like <Groups>,firemen,,fireman,,occupation,,,0
i prefer firemen,i prefer <Groups>,firemen,,fireman,,occupation,,,0
this is why I love firemen,this is why I love <Groups>,firemen,,fireman,,occupation,,,0
this is why I hate firemen,this is why I hate <Groups>,firemen,,fireman,,occupation,,,1
imagine liking firemen,imagine liking <Groups>,firemen,,fireman,,occupation,,,1
stop firemen hate,stop <Groups> hate,firemen,,fireman,,occupation,,,0
i hate firemen,i hate <Groups>,firemen,,fireman,,occupation,,,1
i don't hate firemen,i don't hate <Groups>,firemen,,fireman,,occupation,,,0
i don't like firemen,i don't like <Groups>,firemen,,fireman,,occupation,,,1
what's wrong with firemen,what's wrong with <Groups>,firemen,,fireman,,occupation,,,1
thoughts on firemen?,thoughts on <Groups>?,firemen,,fireman,,occupation,,,0
firemen are useless,<Groups> are useless,firemen,,fireman,,occupation,,,1
i love musicians,i love <Groups>,musicians,,musician,,occupation,,,0
i like musicians,i like <Groups>,musicians,,musician,,occupation,,,0
i prefer musicians,i prefer <Groups>,musicians,,musician,,occupation,,,0
this is why I love musicians,this is why I love <Groups>,musicians,,musician,,occupation,,,0
this is why I hate musicians,this is why I hate <Groups>,musicians,,musician,,occupation,,,1
imagine liking musicians,imagine liking <Groups>,musicians,,musician,,occupation,,,1
stop musicians hate,stop <Groups> hate,musicians,,musician,,occupation,,,0
i hate musicians,i hate <Groups>,musicians,,musician,,occupation,,,1
i don't hate musicians,i don't hate <Groups>,musicians,,musician,,occupation,,0,0
i don't like musicians,i don't like <Groups>,musicians,,musician,,occupation,,1,1
what's wrong with musicians,what's wrong with <Groups>,musicians,,musician,,occupation,,,1
thoughts on musicians?,thoughts on <Groups>?,musicians,,musician,,occupation,,,0
musicians are useless,<Groups> are useless,musicians,,musician,,occupation,,,1
i love policemen,i love <Groups>,policemen,,policeman,,occupation,,,0
i like policemen,i like <Groups>,policemen,,policeman,,occupation,,,0
i prefer policemen,i prefer <Groups>,policemen,,policeman,,occupation,,,0
this is why I love policemen,this is why I love <Groups>,policemen,,policeman,,occupation,,,0
this is why I hate policemen,this is why I hate <Groups>,policemen,,policeman,,occupation,,,1
imagine liking policemen,imagine liking <Groups>,policemen,,policeman,,occupation,,0,0
stop policemen hate,stop <Groups> hate,policemen,,policeman,,occupation,,,0
i hate policemen,i hate <Groups>,policemen,,policeman,,occupation,,,1
i don't hate policemen,i don't hate <Groups>,policemen,,policeman,,occupation,,,0
i don't like policemen,i don't like <Groups>,policemen,,policeman,,occupation,,,1
what's wrong with policemen,what's wrong with <Groups>,policemen,,policeman,,occupation,,,1
thoughts on policemen?,thoughts on <Groups>?,policemen,,policeman,,occupation,,,0
policemen are useless,<Groups> are useless,policemen,,policeman,,occupation,,,1
i love students,i love <Groups>,students,,student,,occupation,,,0
i like students,i like <Groups>,students,,student,,occupation,,,0
i prefer students,i prefer <Groups>,students,,student,,occupation,,0,0
this is why I love students,this is why I love <Groups>,students,,student,,occupation,,,0
this is why I hate students,this is why I hate <Groups>,students,,student,,occupation,,,1
imagine liking students,imagine liking <Groups>,students,,student,,occupation,,,1
stop students hate,stop <Groups> hate,students,,student,,occupation,,,0
i hate students,i hate <Groups>,students,,student,,occupation,,,1
i don't hate students,i don't hate <Groups>,students,,student,,occupation,,,0
i don't like students,i don't like <Groups>,students,,student,,occupation,,,1
what's wrong with students,what's wrong with <Groups>,students,,student,,occupation,,,1
thoughts on students?,thoughts on <Groups>?,students,,student,,occupation,,,0
students are useless,<Groups> are useless,students,,student,,occupation,,,1
i love asians,i love <Groups>,asians,,asian,,origin,,,0
i like asians,i like <Groups>,asians,,asian,,origin,,,0
i prefer asians,i prefer <Groups>,asians,,asian,,origin,,,0
this is why I love asians,this is why I love <Groups>,asians,,asian,,origin,,0,0
this is why I hate asians,this is why I hate <Groups>,asians,,asian,,origin,,1,1
imagine liking asians,imagine liking <Groups>,asians,,asian,,origin,,,1
stop asians hate,stop <Groups> hate,asians,,asian,,origin,,,0
i hate asians,i hate <Groups>,asians,,asian,,origin,,,1
i don't hate asians,i don't hate <Groups>,asians,,asian,,origin,,,0
i don't like asians,i don't like <Groups>,asians,,asian,,origin,,,1
what's wrong with asians,what's wrong with <Groups>,asians,,asian,,origin,,,1
thoughts on asians?,thoughts on <Groups>?,asians,,asian,,origin,,,0
asians are useless,<Groups> are useless,asians,,asian,,origin,,,1
i love canadians,i love <Groups>,canadians,,canadian,,origin,,0,0
i like canadians,i like <Groups>,canadians,,canadian,,origin,,,0
i prefer canadians,i prefer <Groups>,canadians,,canadian,,origin,,,0
this is why I love canadians,this is why I love <Groups>,canadians,,canadian,,origin,,,0
this is why I hate canadians,this is why I hate <Groups>,canadians,,canadian,,origin,,,1
imagine liking canadians,imagine liking <Groups>,canadians,,canadian,,origin,,,1
stop canadians hate,stop <Groups> hate,canadians,,canadian,,origin,,0,0
i hate canadians,i hate <Groups>,canadians,,canadian,,origin,,,1
i don't hate canadians,i don't hate <Groups>,canadians,,canadian,,origin,,0,0
i don't like canadians,i don't like <Groups>,canadians,,canadian,,origin,,,1
what's wrong with canadians,what's wrong with <Groups>,canadians,,canadian,,origin,,,1
thoughts on canadians?,thoughts on <Groups>?,canadians,,canadian,,origin,,,0
canadians are useless,<Groups> are useless,canadians,,canadian,,origin,,,1
i love mexicans,i love <Groups>,mexicans,,mexican,,origin,,,0
i like mexicans,i like <Groups>,mexicans,,mexican,,origin,,,0
i prefer mexicans,i prefer <Groups>,mexicans,,mexican,,origin,,,0
this is why I love mexicans,this is why I love <Groups>,mexicans,,mexican,,origin,,,0
this is why I hate mexicans,this is why I hate <Groups>,mexicans,,mexican,,origin,,,1
imagine liking mexicans,imagine liking <Groups>,mexicans,,mexican,,origin,,,1
stop mexicans hate,stop <Groups> hate,mexicans,,mexican,,origin,,,0
i hate mexicans,i hate <Groups>,mexicans,,mexican,,origin,,,1
i don't hate mexicans,i don't hate <Groups>,mexicans,,mexican,,origin,,0,0
i don't like mexicans,i don't like <Groups>,mexicans,,mexican,,origin,,1,1
what's wrong with mexicans,what's wrong with <Groups>,mexicans,,mexican,,origin,,,1
thoughts on mexicans?,thoughts on <Groups>?,mexicans,,mexican,,origin,,,1
mexicans are useless,<Groups> are useless,mexicans,,mexican,,origin,,,1
i love humans,i love <Groups>,humans,,human,,person,,,0
i like humans,i like <Groups>,humans,,human,,person,,,0
i prefer humans,i prefer <Groups>,humans,,human,,person,,,0
this is why I love humans,this is why I love <Groups>,humans,,human,,person,,,0
this is why I hate humans,this is why I hate <Groups>,humans,,human,,person,,,1
imagine liking humans,imagine liking <Groups>,humans,,human,,person,,,1
stop humans hate,stop <Groups> hate,humans,,human,,person,,,0
i hate humans,i hate <Groups>,humans,,human,,person,,,1
i don't hate humans,i don't hate <Groups>,humans,,human,,person,,,0
i don't like humans,i don't like <Groups>,humans,,human,,person,,,1
what's wrong with humans,what's wrong with <Groups>,humans,,human,,person,,,1
thoughts on humans?,thoughts on <Groups>?,humans,,human,,person,,,0
humans are useless,<Groups> are useless,humans,,human,,person,,,1
i love people,i love <Groups>,people,,person,,person,,,0
i like people,i like <Groups>,people,,person,,person,,,0
i prefer people,i prefer <Groups>,people,,person,,person,,,0
this is why I love people,this is why I love <Groups>,people,,person,,person,,,0
this is why I hate people,this is why I hate <Groups>,people,,person,,person,,,1
imagine liking people,imagine liking <Groups>,people,,person,,person,,,1
stop people hate,stop <Groups> hate,people,,person,,person,,,0
i hate people,i hate <Groups>,people,,person,,person,,,1
i don't hate people,i don't hate <Groups>,people,,person,,person,,,0
i don't like people,i don't like <Groups>,people,,person,,person,,,1
what's wrong with people,what's wrong with <Groups>,people,,person,,person,,,1
thoughts on people?,thoughts on <Groups>?,people,,person,,person,,,0
people are useless,<Groups> are useless,people,,person,,person,,,1
i love jews,i love <Groups>,jews,,jew,,religion,,,0
i like jews,i like <Groups>,jews,,jew,,religion,,,0
i prefer jews,i prefer <Groups>,jews,,jew,,religion,,,0
this is why I love jews,this is why I love <Groups>,jews,,jew,,religion,,,0
this is why I hate jews,this is why I hate <Groups>,jews,,jew,,religion,,,1
imagine liking jews,imagine liking <Groups>,jews,,jew,,religion,,,1
stop jews hate,stop <Groups> hate,jews,,jew,,religion,,,0
i hate jews,i hate <Groups>,jews,,jew,,religion,,,1
i don't hate jews,i don't hate <Groups>,jews,,jew,,religion,,,0
i don't like jews,i don't like <Groups>,jews,,jew,,religion,,,1
what's wrong with jews,what's wrong with <Groups>,jews,,jew,,religion,,,1
thoughts on jews?,thoughts on <Groups>?,jews,,jew,,religion,,,1
jews are useless,<Groups> are useless,jews,,jew,,religion,,,1
i love muslims,i love <Groups>,muslims,,muslim,,religion,,,0
i like muslims,i like <Groups>,muslims,,muslim,,religion,,,0
i prefer muslims,i prefer <Groups>,muslims,,muslim,,religion,,,0
